model,usercf_k,mf_k,w_usercf,w_mf,RMSE,MAE,rows
AllPair_Weighted_Ensemble,20,20,0.8,0.2,0.9849,0.7808,13586
AllPair_Weighted_Ensemble,20,10,0.8,0.2,0.9865,0.7822,13586
AllPair_Weighted_Ensemble,20,5,0.8,0.2,0.9872,0.7826,13586
AllPair_Weighted_Ensemble,50,50,0.9,0.1,0.9962,0.7905,13586
AllPair_Weighted_Ensemble,50,100,0.9,0.1,0.9962,0.7906,13586
AllPair_Weighted_Ensemble,50,20,0.9,0.1,0.9966,0.7907,13586
AllPair_Weighted_Ensemble,50,10,0.9,0.1,0.9975,0.7916,13586
AllPair_Weighted_Ensemble,10,50,0.8,0.2,0.9978,0.7903,13586
AllPair_Weighted_Ensemble,10,100,0.8,0.2,0.9978,0.7907,13586
AllPair_Weighted_Ensemble,50,5,0.9,0.1,0.9979,0.7918,13586
AllPair_Weighted_Ensemble,100,100,0.9,0.1,0.9982,0.7942,13586
AllPair_Weighted_Ensemble,100,50,0.9,0.1,0.9983,0.7942,13586
AllPair_Weighted_Ensemble,10,20,0.8,0.2,0.9985,0.7908,13586
AllPair_Weighted_Ensemble,100,20,0.9,0.1,0.9987,0.7944,13586
AllPair_Weighted_Ensemble,100,10,0.9,0.1,0.9997,0.7952,13586
AllPair_Weighted_Ensemble,5,50,0.7,0.3,0.9999,0.7923,13586
AllPair_Weighted_Ensemble,10,10,0.8,0.2,1.0,0.7924,13586
AllPair_Weighted_Ensemble,5,100,0.7,0.3,1.0,0.7927,13586
AllPair_Weighted_Ensemble,100,5,0.9,0.1,1.0001,0.7956,13586
AllPair_Weighted_Ensemble,5,20,0.7,0.3,1.0006,0.7928,13586
AllPair_Weighted_Ensemble,10,5,0.8,0.2,1.0007,0.7929,13586
AllPair_Weighted_Ensemble,5,10,0.7,0.3,1.0028,0.7949,13586
AllPair_Weighted_Ensemble,20,50,0.9,0.1,1.0033,0.7949,13586
AllPair_Weighted_Ensemble,20,100,0.9,0.1,1.0033,0.7951,13586
AllPair_Weighted_Ensemble,20,20,0.9,0.1,1.0036,0.7953,13586
AllPair_Weighted_Ensemble,5,5,0.7,0.3,1.0039,0.7956,13586
AllPair_Weighted_Ensemble,20,10,0.9,0.1,1.0045,0.796,13586
AllPair_Weighted_Ensemble,20,5,0.9,0.1,1.0048,0.7963,13586
AllPair_Weighted_Ensemble,50,5,1.0,0.0,1.0156,0.8053,13586
AllPair_Weighted_Ensemble,50,10,1.0,0.0,1.0156,0.8053,13586
AllPair_Weighted_Ensemble,50,20,1.0,0.0,1.0156,0.8053,13586
AllPair_Weighted_Ensemble,50,50,1.0,0.0,1.0156,0.8053,13586
AllPair_Weighted_Ensemble,50,100,1.0,0.0,1.0156,0.8053,13586
AllPair_Weighted_Ensemble,100,5,1.0,0.0,1.0177,0.8091,13586
AllPair_Weighted_Ensemble,100,10,1.0,0.0,1.0177,0.8091,13586
AllPair_Weighted_Ensemble,100,20,1.0,0.0,1.0177,0.8091,13586
AllPair_Weighted_Ensemble,100,50,1.0,0.0,1.0177,0.8091,13586
AllPair_Weighted_Ensemble,100,100,1.0,0.0,1.0177,0.8091,13586
AllPair_Weighted_Ensemble,10,100,0.9,0.1,1.0202,0.8079,13586
AllPair_Weighted_Ensemble,10,50,0.9,0.1,1.0203,0.8078,13586
AllPair_Weighted_Ensemble,10,20,0.9,0.1,1.0206,0.808,13586
AllPair_Weighted_Ensemble,10,10,0.9,0.1,1.0214,0.8088,13586
AllPair_Weighted_Ensemble,10,5,0.9,0.1,1.0218,0.8091,13586
AllPair_Weighted_Ensemble,20,5,1.0,0.0,1.0244,0.8111,13586
AllPair_Weighted_Ensemble,20,10,1.0,0.0,1.0244,0.8111,13586
AllPair_Weighted_Ensemble,20,20,1.0,0.0,1.0244,0.8111,13586
AllPair_Weighted_Ensemble,20,50,1.0,0.0,1.0244,0.8111,13586
AllPair_Weighted_Ensemble,20,100,1.0,0.0,1.0244,0.8111,13586
AllPair_Weighted_Ensemble,5,50,0.8,0.2,1.026,0.8125,13586
AllPair_Weighted_Ensemble,5,100,0.8,0.2,1.026,0.8127,13586
AllPair_Weighted_Ensemble,5,20,0.8,0.2,1.0265,0.813,13586
AllPair_Weighted_Ensemble,5,10,0.8,0.2,1.0281,0.8145,13586
AllPair_Weighted_Ensemble,5,5,0.8,0.2,1.0288,0.8149,13586
AllPair_Weighted_Ensemble,10,5,1.0,0.0,1.045,0.8263,13586
AllPair_Weighted_Ensemble,10,10,1.0,0.0,1.045,0.8263,13586
AllPair_Weighted_Ensemble,10,20,1.0,0.0,1.045,0.8263,13586
AllPair_Weighted_Ensemble,10,50,1.0,0.0,1.045,0.8263,13586
AllPair_Weighted_Ensemble,10,100,1.0,0.0,1.045,0.8263,13586
AllPair_Weighted_Ensemble,5,50,0.9,0.1,1.0551,0.8345,13586
AllPair_Weighted_Ensemble,5,100,0.9,0.1,1.0551,0.8346,13586
AllPair_Weighted_Ensemble,5,20,0.9,0.1,1.0554,0.8348,13586
AllPair_Weighted_Ensemble,5,10,0.9,0.1,1.0562,0.8355,13586
AllPair_Weighted_Ensemble,5,5,0.9,0.1,1.0566,0.8357,13586
AllPair_Weighted_Ensemble,5,5,1.0,0.0,1.087,0.8571,13586
AllPair_Weighted_Ensemble,5,10,1.0,0.0,1.087,0.8571,13586
AllPair_Weighted_Ensemble,5,20,1.0,0.0,1.087,0.8571,13586
AllPair_Weighted_Ensemble,5,50,1.0,0.0,1.087,0.8571,13586
AllPair_Weighted_Ensemble,5,100,1.0,0.0,1.087,0.8571,13586
